1 Text, 2 Text
"What is the UFMCS Red Team Handbook?","University of Foreign Military and Cultural Studies guide. Core text for adversarial thinking."
"What are the Four Ways of Seeing?","Cultural lens, organizational lens, political lens, ethical lens. Framework for understanding adversary perspectives."
"What is Devil's Advocacy?","Designated contrarian when consensus forms. Prevents groupthink."
"What is Pre-Mortem Analysis?","'Imagine we've failed—why?' Identifies vulnerabilities before execution."
"What is Alternative Futures analysis?","Develop multiple scenarios, not single predictions. Acknowledge uncertainty."
"Who wrote 'Red Team' (the book)?","Micah Zenko. History and methods of adversarial thinking."
"What is Voennaya Mysl?","'Military Thought.' Russian military journal. Primary source for Russian doctrine."
"Where to find Chinese military translations?","CASI 'In Their Own Words' series. Georgetown translations of PLA writings."
"Key think tanks for adversary analysis?","RAND, CNA, CSIS, Jamestown Foundation."
"What's the point of red teaming?","Challenge assumptions. See the problem from the adversary's perspective. Find what we're missing."
